zotero_link|creator
E2965PTQ|Cohen_Suarez_George
IPXUG8I7|Somervill
2ZSUN2B5|Kurin
5RNUEE5T|Tiesler
IVSFSU5A|Pechenkina_Oxenham
D2GRGKMT|Oxenham_Buckley
S6VB9IU8|Smith
TSQ44WXJ|Perry
I9AV4BVB|Klein
EX4PA7NU|Searing
W273VNMA|Oxenham_Tayles
68ZU4JKZ|Livi-Bacci_Croft-Murray
NGQETKFF|Clark
KF3F2N46|Norman
SCFCIFKI|Norman
BG4TPIXV|Ubah
F5BAAZWW|Norman
GNK7QF6I|Gomez
PWEPZJXN|Gomez
6ETJUATG|Frangipane_Poettinger_Schefold
IWZJ8MFZ|Ludewig
AATGNIB6|Parés
P4DQ36NB|Bondarenko_Roese
M3J4HTAF|Sanneh
6TXWGHAX|Barry_Shillington
BEW97CV4|Bangura_Shillington
UUUAZKKE|Sanneh
LDD8ASDR|Smith
ZSZ2XBTF|Llewellyn
V8JDJUC6|Hellie_Perrie
4EAHAZ4T|Hallenbeck
RVPGA38E|Farris
K8BJIJ9V|Haldon
U4IDLZ3Y|Arnold_et_al
2WDYEZGB|Arkush
3FHTN4Q3|Dube
U8C75XJD|Raftopoulos_Mlambo
TXAPM8BD|Strathern_Hsia
ZD697IE9|Lopez-Jantzen
ZZJW3E58|Susan_Toby
ACSNSTDB|Lawrence_Janzwood_Homer-Dixon
4Z6FWFR9|Carrasco
CC7GFFIT|Gamboa_Cabezas_Healan
QKQNDA66|Cobean_Jiménez_García_Guadalupe_Mastache
PCGIB556|Dueppen
3KTP86GD|Davies
3GH3BFJQ|Roth
V9GP97CI|NO_CREATOR
PM9UW5VU|NO_CREATOR
Q8S4MWX7|NO_CREATOR
844PINQG|NO_CREATOR
BWXZTETZ|Mises
6GIU6JTR|Rohmann
MPWQTI9N|Wickham
NQCDCS8D|NO_CREATOR
KBEYM8UL|O'Keefe_Westgate_Wisner
SA2RIAY6|Raju_Boyd_Otto
EJ28N7SP|Burton_et_al
BUGM3545|Baines_et_al
M4WKVH6W|Sawyer
SIQGZ27L|Podloski_Kelman
8J6P8FCQ|Dege-Müller
FGHCAD8X|Piovanelli
WWPXBUHX|Stater
JR665EMR|Escribano
J4ANVHAJ|Kemp_et_al
DAMAJ47B|Kelman
ZUYIC9JC|Hillebrand_et_al
PT9MJQBE|Kaplan
SDX5FWJI|Clay
BPSXZJ84|Clay
UMZJD4KF|Rule
VQKTKGJ7|Bailey
844LISQU|Nyord_Nyord
GLWL33UZ|Assmann
JVCCIE57|Mukhtar
XQZXUHJR|McPherson_Karney
WXMQC4UD|Strudwick
E3JKMPG2|Tamrat
8GCS5BEV|Insoll
8Z5ZDGRS|Raychaudhuri_et_al
EGGXMCV6|Hornsey_Fielding
YUDXZ7RW|Scranton
R5NT5CCA|Scranton
75G89YR2|Burke
RDQGDEC2|Burke
MC39HHZU|Armit
IQWD9I5I|Haas
Q4TEN94U|De_Conteson_Mokhtar
3CGX9GMX|Phillipson
M47EV77H|Kobishanov_Mokhtar
AX8FW78P|Slikkerveer
2RUKUNG4|Cerulli
BU4ZDGCX|Santelli
7K2BQBND|Hays_Der_Manuelian_Schneider
9QRSCR6Z|Bickel_Bickel_Díaz-Iglesias
8XRCTHJZ|Ben-Dror
UAQTDNIX|Chekroun_Hirsch_Kelly
TA84VGHX|Chekroun_Hirsch_Kelly
6BV4NISC|Grayson_et_al
DVAMZ4UF|Brinkman_et_al
GLAGUI9D|Scranton
3USBA4IS|Stadler_Dieleman_Wendrich
VZVIMQWU|Holt
N3Q7CU6H|Fariss_et_al
KKJC836D|Spaulding
46M64H9J|Kramer
Z3AY7PM3|Luiselli
DB9BAFGM|Oliver_Atmore
MUKJ4G5K|Daryaee
G35FTPI3|Trimingham
XVTJFHE3|Matory
ST3IIGMH|Getahun_Kassu
BN5KT9CN|Pinto_Law
CZP6AQ6H|Law
QGH6J8NC|Baines_et_al
ZHAIQ8WM|Boyle
7CNCD5WF|Daubigney
22GHV2JB|Bonnechere
USXJ5DVK|Roveda
LAFMS669|Brisson_Hatt
CPSIQRRH|Aubert_Flower
WZ8CH2WH|Dynneson
TBRG38UP|Bendell
K4CE4R4K|NO_CREATOR
V6C79IJY|Cox
GF54NAC9|Egami_et_al
JKATIJGY|Bassir_Pope
9NAMJV96|Bassir_Agut-Labordère
SFWVSHU4|Hollander
Z9RVJ7WS|NO_CREATOR
AHN3M6DY|Levin_et_al
NOZOTERO_LINK_100158|MAJIDBENAM
NOZOTERO_LINK_100204|MAJIDBENAM
NOZOTERO_LINK_100203|MAJIDBENAM
NOZOTERO_LINK_100202|MAJIDBENAM
NOZOTERO_LINK_100201|MAJIDBENAM
NOZOTERO_LINK_100200|MAJIDBENAM
NOZOTERO_LINK_100199|MAJIDBENAM
NOZOTERO_LINK_100198|MAJIDBENAM
NOZOTERO_LINK_100197|MAJIDBENAM
NOZOTERO_LINK_100196|MAJIDBENAM
NOZOTERO_LINK_100195|MAJIDBENAM
NOZOTERO_LINK_100194|MAJIDBENAM
NOZOTERO_LINK_100193|MAJIDBENAM
NOZOTERO_LINK_100192|MAJIDBENAM
NOZOTERO_LINK_100191|MAJIDBENAM
NOZOTERO_LINK_100190|MAJIDBENAM
NOZOTERO_LINK_100189|MAJIDBENAM
NOZOTERO_LINK_100188|MAJIDBENAM
NOZOTERO_LINK_100187|MAJIDBENAM
NOZOTERO_LINK_100186|MAJIDBENAM
NOZOTERO_LINK_100185|MAJIDBENAM
NOZOTERO_LINK_100184|MAJIDBENAM
NOZOTERO_LINK_100183|MAJIDBENAM
NOZOTERO_LINK_100182|MAJIDBENAM
NOZOTERO_LINK_100181|MAJIDBENAM
NOZOTERO_LINK_100180|MAJIDBENAM
NOZOTERO_LINK_100179|MAJIDBENAM
NOZOTERO_LINK_100178|MAJIDBENAM
NOZOTERO_LINK_100177|MAJIDBENAM
NOZOTERO_LINK_100176|MAJIDBENAM
NOZOTERO_LINK_100175|MAJIDBENAM
NOZOTERO_LINK_100174|MAJIDBENAM
NOZOTERO_LINK_100173|MAJIDBENAM
NOZOTERO_LINK_100172|MAJIDBENAM
NOZOTERO_LINK_100171|MAJIDBENAM
NOZOTERO_LINK_100170|MAJIDBENAM
NOZOTERO_LINK_100169|MAJIDBENAM
NOZOTERO_LINK_100168|MAJIDBENAM
NOZOTERO_LINK_100167|MAJIDBENAM
NOZOTERO_LINK_100166|MAJIDBENAM
NOZOTERO_LINK_100165|MAJIDBENAM
NOZOTERO_LINK_100164|MAJIDBENAM
NOZOTERO_LINK_100163|MAJIDBENAM
NOZOTERO_LINK_100162|MAJIDBENAM
NOZOTERO_LINK_100161|MAJIDBENAM
NOZOTERO_LINK_100159|MAJIDBENAM
NOZOTERO_LINK_100157|MAJIDBENAM
NOZOTERO_LINK_100156|MAJIDBENAM
NOZOTERO_LINK_100155|MAJIDBENAM
NOZOTERO_LINK_100154|MAJIDBENAM
NOZOTERO_LINK_100153|MAJIDBENAM
NOZOTERO_LINK_100152|MAJIDBENAM
NOZOTERO_LINK_100151|MAJIDBENAM
NOZOTERO_LINK_100150|MAJIDBENAM
NOZOTERO_LINK_100149|MAJIDBENAM
NOZOTERO_LINK_100148|MAJIDBENAM
NOZOTERO_LINK_100147|MAJIDBENAM
NOZOTERO_LINK_100146|MAJIDBENAM
NOZOTERO_LINK_100145|MAJIDBENAM
NOZOTERO_LINK_100144|MAJIDBENAM
NOZOTERO_LINK_100143|MAJIDBENAM
NOZOTERO_LINK_100142|MAJIDBENAM
NOZOTERO_LINK_100141|MAJIDBENAM
NOZOTERO_LINK_100140|MAJIDBENAM
NOZOTERO_LINK_100139|MAJIDBENAM
NOZOTERO_LINK_100138|MAJIDBENAM
NOZOTERO_LINK_100137|MAJIDBENAM
NOZOTERO_LINK_100136|MAJIDBENAM
NOZOTERO_LINK_100135|MAJIDBENAM
NOZOTERO_LINK_100134|MAJIDBENAM
NOZOTERO_LINK_100133|MAJIDBENAM
NOZOTERO_LINK_100132|MAJIDBENAM
NOZOTERO_LINK_100131|MAJIDBENAM
NOZOTERO_LINK_100130|MAJIDBENAM
NOZOTERO_LINK_100129|MAJIDBENAM
NOZOTERO_LINK_100128|MAJIDBENAM
NOZOTERO_LINK_100127|MAJIDBENAM
NOZOTERO_LINK_100126|MAJIDBENAM
NOZOTERO_LINK_100125|MAJIDBENAM
NOZOTERO_LINK_100124|MAJIDBENAM
NOZOTERO_LINK_100160|MAJIDBENAM
NOZOTERO_LINK_100123|MAJIDBENAM
NOZOTERO_LINK_100122|MAJIDBENAM
NOZOTERO_LINK_100121|MAJIDBENAM
NOZOTERO_LINK_100120|MAJIDBENAM
NOZOTERO_LINK_100119|MAJIDBENAM
NOZOTERO_LINK_100118|MAJIDBENAM
NOZOTERO_LINK_100117|MAJIDBENAM
NOZOTERO_LINK_100116|MAJIDBENAM
NOZOTERO_LINK_100115|MAJIDBENAM
NOZOTERO_LINK_100114|MAJIDBENAM
NOZOTERO_LINK_100113|MAJIDBENAM
NOZOTERO_LINK_100112|MAJIDBENAM
NOZOTERO_LINK_100111|MAJIDBENAM
NOZOTERO_LINK_100110|MAJIDBENAM
NOZOTERO_LINK_100109|MAJIDBENAM
NOZOTERO_LINK_100108|MAJIDBENAM
NOZOTERO_LINK_100107|MAJIDBENAM
NOZOTERO_LINK_100106|MAJIDBENAM
NOZOTERO_LINK_100105|MAJIDBENAM
NOZOTERO_LINK_100104|MAJIDBENAM
NOZOTERO_LINK_100103|MAJIDBENAM
NOZOTERO_LINK_100102|MAJIDBENAM
NOZOTERO_LINK_100101|MAJIDBENAM
NOZOTERO_LINK_100100|MAJIDBENAM
NOZOTERO_LINK_100099|MAJIDBENAM
NOZOTERO_LINK_100098|MAJIDBENAM
NOZOTERO_LINK_100097|MAJIDBENAM
NOZOTERO_LINK_100096|MAJIDBENAM
NOZOTERO_LINK_100095|MAJIDBENAM
NOZOTERO_LINK_100094|MAJIDBENAM
NOZOTERO_LINK_100093|MAJIDBENAM
NOZOTERO_LINK_100092|MAJIDBENAM
NOZOTERO_LINK_100091|MAJIDBENAM
NOZOTERO_LINK_100090|MAJIDBENAM
NOZOTERO_LINK_100089|MAJIDBENAM
NOZOTERO_LINK_100088|MAJIDBENAM
NOZOTERO_LINK_100087|MAJIDBENAM
NOZOTERO_LINK_100086|MAJIDBENAM
NOZOTERO_LINK_100085|MAJIDBENAM
NOZOTERO_LINK_100084|MAJIDBENAM
NOZOTERO_LINK_100083|MAJIDBENAM
